blockNumber,transactionIndex
12030166,214
12030178,65
12030183,128
12036626,127
12036733,126
12036807,4
12043133,57
12043209,296
12043616,169
12049648,82
12050364,227
12056179,99
12056533,103
12062651,105
12062744,154
12062795,65
12069112,181
12069117,56
12069172,20
12075630,98
12075631,16
12075682,111
12082086,79
12082125,157
12082151,47
12088578,65
12088578,66
12088657,69
12095075,283
12095116,153
12095126,111
12101479,112
12101528,65
12101567,41
12108029,113
12108034,8
12108066,120
12114581,143
12114627,130
12114635,72
12121006,108
12121157,70
12121717,166
12127545,134
12127611,62
12127635,79
12134086,32
12134149,131
12134156,249
12140592,39
12140619,71
12140626,50
12147084,122
12147120,35
12147124,59
12147124,74
12147127,84
12153541,167
12153543,69
12153544,181
12160015,99
12160019,151
12160218,152
12162287,63
12166536,42
12166536,93
12166608,68
12166614,93
12173041,154
12173043,82
12173146,157
12173159,127
12179644,139
12179652,94
12179724,111
12182750,144
12186107,84
12186227,73
12186268,149
12192619,141
12192690,111
12193758,76
12199109,56
12199109,98
12199143,171
12205597,136
12205598,38
12205672,138
12205712,147
12212107,79
12212128,209
12212192,155
12212249,30
12218563,194
12218579,136
12218615,57
12225187,69
12225192,40
12225247,72
12231675,105
12231675,113
12231676,46
12238143,27
12238144,32
12238198,5
12238199,155
12244587,79
12244587,133
12244679,64
12244679,71
12251052,66
12251054,58
12251162,91
12251202,83
12257552,59
12257557,104
12257627,165
12257638,159
12264028,119
12264036,124
12264108,57
12264160,113
12270455,93
12270455,109
12270512,242
12276966,136
12276968,163
12276972,113
12283518,154
12283518,190
12283529,151
12289951,149
12289998,103
12290004,269
12290004,277
12296416,154
12296416,158
12296417,102
12302877,109
12302878,77
12302888,19
12309399,39
12309399,62
12309415,147
12315873,145
12315875,252
12315876,48
12322348,64
12322348,82
12322416,90
12328909,248
12328927,106
12328931,95
12335325,16
12335330,45
12335333,147
12341644,18
12341762,161
12341805,65
12341838,155
12341840,167
12348230,156
12348236,92
12348238,297
12354724,89
12354730,38
12354749,165
12354749,179
12354757,111
12361178,83
12361180,13
12361183,120
12361184,79
12361186,194
12367681,67
12367704,153
12367743,96
12367745,157
12367748,135
12374126,156
12374130,137
12374131,139
12374131,153
12374134,22
12380742,106
12380746,105
12380746,108
12383506,249
12383512,101
12387085,20
12387087,106
12387104,130
12387106,119
12387162,208
12393609,27
12393609,29
12393649,140
12393651,169
12393651,191
12400132,95
12400140,56
12400140,145
12400142,45
12400526,132
12406544,223
12406554,144
12406554,145
12406559,201
12406599,192
12413100,129
12413100,130
12413103,162
12413103,176
12419550,159
12419553,214
12419565,169
12419566,56
12425974,149
12425986,218
12426006,179
12426015,142
12426015,163
12432452,11
12432452,13
12432452,16
12432453,106
12438921,76
12438923,103
12438926,147
12438926,148
12438928,39
12445431,35
12445444,130
12445445,83
12445445,117
12451830,153
12451835,40
12451870,166
12452017,145
12458321,104
12458332,22
12458341,90
12458342,258
12464750,92
12464750,153
12464751,153
12471266,311
12471266,316
12471279,189
12471282,148
12477621,55
12477622,153
12477630,101
12477634,110
12484054,53
12484054,127
12484057,73
12484061,129
12490469,175
12490470,42
12490483,154
12490485,78
12490501,43
12496940,27
12496989,170
12496989,174
12496989,177
12497765,87
12503436,36
12503438,136
12503457,370
12503464,52
12503464,86
12509882,87
12509883,147
12509886,80
12516318,130
12516323,116
12516335,37
12516338,172
12516341,119
12522785,43
12522831,106
12522831,109
12522841,163
12522878,101
12529222,103
12529251,75
12529251,76
12529251,84
12529258,27
12535684,112
12535685,46
12535690,64
12535692,77
12542074,38
12542088,162
12542113,61
12545815,117
12548517,136
12548517,144
12548520,135
12548522,50
12548522,74
12555039,109
12555046,54
12555062,118
12561492,155
12561500,142
12561506,90
12567912,14
12567945,14
12567971,159
12567977,108
12574390,165
12574403,98
12574405,199
12574411,67
12580910,146
12580982,105
12580983,30
12580984,110
12587344,60
12587344,108
12587378,120
12587378,121
12593830,127
12593872,31
12593872,40
12594054,142
12600282,59
12600365,102
12600365,110
12600365,115
12606738,104
12606779,59
12606781,88
12606781,151
12613191,89
12613213,117
12613214,56
12616729,77
12619596,120
12619719,84
12619719,85
12619851,41
12626099,135
12626133,114
12626133,149
12626186,136
12632521,182
12632523,126
12632530,72
12632532,85
12638992,94
12638993,48
12639032,55
12641924,174
12645439,52
12645443,25
12645445,45
12651932,50
12651941,94
12651942,97
12651944,133
12658381,128
12658397,101
12658406,136
12658407,54
12664771,120
12664785,86
12664790,49
12671167,136
12671173,110
12671184,51
12677565,97
12677573,143
12677595,157
12682066,182
12683967,129
12684038,158
12684040,174
12684273,38
12690331,71
12690341,91
12690341,129
12696792,111
12696809,132
12696809,135
12696817,173
12703231,39
12703246,32
12703246,37
12703246,72
12709651,26
12709651,53
12709655,25
12709655,63
12716024,73
12716024,127
12716051,137
12722504,94
12722520,29
12722520,30
12722584,73
12728910,66
12728932,130
12728933,141
12728934,138
12735286,24
12735286,25
12735287,59
12741739,143
12741742,120
12741770,86
12741771,212
12748133,172
12748146,29
12748147,131
12754561,74
12754567,107
12754699,106
12754699,107
12760963,10
12760980,9
12760986,34
12760986,35
12767433,154
12767451,17
12767451,18
12767451,19
12773912,100
12773912,118
12773914,89
12773914,90
12780228,140
12780228,145
12780234,149
12786656,183
12786656,184
12786692,149
12786770,128
12793103,189
12793107,119
12793107,120
12799592,141
12799592,144
12799640,116
12799679,63
12805938,131
12805938,134
12805944,196
12812402,30
12812404,51
12812405,68
12818735,40
12818751,53
12818751,63
12825092,38
12825116,184
12825128,125
12825129,97
12831502,205
12831506,140
12831523,18
12831543,67
12837858,64
12837910,52
12837910,88
12839359,36
12844240,24
12844295,134
12844297,89
12844299,116
12850553,148
12850570,80
12850574,52
12850575,9
12856927,142
12856963,31
12856986,65
12863352,42
12863363,57
12863399,103
12863406,128
12869757,75
12869773,29
12869777,136
12869790,95
12876134,44
12876157,141
12876195,100
12876203,49
12882594,112
12882597,125
12882607,109
12888935,72
12888938,48
12888960,131
12888963,157
12895376,64
12895381,41
12895393,101
12901754,189
12901776,192
12901782,139
12908022,27
12908030,145
12908052,63
12914386,122
12914387,88
12914392,79
12914394,82
12920668,75
12920671,74
12920687,133
12926913,90
12926948,49
12926963,143
12926966,103
12933264,131
12933268,140
12933294,140
12933304,129
12939564,147
12939574,112
12939611,86
12939715,106
12945921,168
12945927,81
12945933,49
12945933,124
12945945,21
12952279,91
12952280,131
12952282,157
12952282,161
12958616,120
12958625,115
12958674,83
12958675,44
12958676,158
12964904,163
12964923,136
12964937,54
12964940,12
12971370,143
12971379,97
12971391,257
12971483,227
12977895,282
12977909,213
12977909,214
12977957,221
12984368,173
12984370,140
12984388,211
12984495,597
12990875,231
12990881,100
12990893,168
12997346,128
12997348,0
12997365,124
12997369,149
13003818,4
13003818,215
13003839,212
13003839,224
13003841,204
13010300,224
13010303,187
13010305,96
13016754,384
13016756,0
13016760,309
13016760,325
13023241,325
13023242,5
13023249,197
13029722,6
13029733,318
13029741,107
13029742,74
13036236,328
13036239,9
13036257,416
13036258,281
13042659,3
13042669,88
13042669,121
13042673,191
13049172,6
13049172,197
13049191,320
13049210,268
13055639,76
13055640,8
13055649,171
13055649,272
13062090,5
13062103,109
13062108,183
13062111,213
13068562,105
13068568,0
13068589,116
13075076,219
13075077,4
13075083,77
13081485,80
13081488,0
13081497,154
13087973,147
13087979,8
13087987,48
13087987,50
13094526,10
13094531,123
13094538,157
13094538,183
13100929,12
13100929,77
13100935,233
13107394,126
13107395,4
13107415,63
13107415,67
13113845,68
13113848,204
13113863,150
13120338,114
13120351,18
13120392,322
13120409,151
13126843,43
13126867,421
13126884,137
13126886,98
13133232,285
13133246,104
13133256,87
13139767,273
13139771,325
13139777,109
13146237,166
13146247,119
13146256,38
13146258,348
13152679,119
13152690,192
13152710,269
13159147,160
13159157,136
13159172,356
13165641,323
13165689,175
13165708,198
13165723,391
13165817,54
13172144,103
13172146,80
13172146,82
13178587,144
13178592,9
13178592,60
13185060,228
13185060,236
13185069,85
13185100,124
13191484,82
13191485,249
13191490,268
13197963,176
13197964,172
13197999,300
13198005,252
13198022,188
13204414,115
13204423,159
13204423,164
13204433,113
13210923,99
13210930,65
13210951,88
13210958,69
13210968,202
13217320,121
13217327,110
13217337,219
13217346,222
13223815,50
13223825,175
13223868,155
13223868,157
13230255,208
13230261,78
13230263,104
13236723,111
13236728,311
13236740,44
13243164,160
13243173,139
13243188,201
13243234,128
13249629,161
13249638,105
13249647,165
13249687,281
13255227,227
13256109,351
13256109,353
13256119,231
13256131,323
13262589,14
13262590,327
13262615,53
13262618,236
13269097,31
13269097,34
13269110,313
13275548,139
13275551,122
13275578,157
13275582,366
13281962,97
13281977,118
13281994,134
13282048,205
13282048,208
13288479,139
13288486,116
13288504,45
13288504,126
13294927,224
13294938,54
13294944,14
13301349,93
13301367,24
13301369,118
13301369,120
13301441,182
13307744,62
13307752,225
13307766,225
13314232,152
13314235,93
13314256,150
13320620,290
13320628,46
13320639,84
13327071,114
13327088,220
13327094,58
13327233,124
13333442,189
13333448,211
13333496,83
13333496,183
13339821,90
13339825,103
13339833,71
13346182,40
13346185,123
13346212,177
13346216,113
13352563,65
13352565,61
13352566,62
13359058,22
13359075,85
13359079,158
13365383,158
13365389,17
13365407,97
13365481,114
13371796,31
13371802,105
13371824,219
13371824,253
13378177,167
13378179,117
13378194,56
13384504,263
13384513,108
13384528,107
13384535,239
13390866,44
13390873,163
13390873,164
13397271,123
13397271,157
13397285,138
13402681,306
13403616,75
13403616,194
13403618,192
13403620,123
13409972,203
13409999,199
13410004,31
13410025,146
13416320,166
13416332,126
13416340,174
13422607,33
13422623,142
13422650,134
13422711,13
13428992,270
13429016,143
13429028,319
13435426,244
13435439,122
13435441,320
13440965,240
13441792,74
13441792,81
13441803,453
13448167,39
13448168,132
13448168,183
13454565,116
13454574,124
13454576,77
13461003,222
13461003,290
13461013,273
13467378,186
13467380,160
13467393,86
13473724,91
13473737,224
13473748,297
13480149,96
13480165,381
13480178,190
13486556,64
13486571,301
13486598,25
13492979,241
13492982,134
13492998,400
13499355,30
13499362,113
13499367,73
13505705,232
13505710,24
13505760,217
13512047,143
13512050,122
13512064,35
13518428,28
13518441,248
13518492,27
13524753,461
13524759,202
13524775,40
13531149,152
13531156,189
13531194,165
13537487,183
13537491,223
13537512,166
13537512,179
13543842,257
13543850,53
13543911,71
13550173,116
13550173,126
13550202,49
13556552,47
13556562,334
13556580,154
13556702,80
13562942,173
13562942,276
13562953,25
13569328,75
13569345,51
13569346,125
13575738,65
13575743,450
13575753,114
13582130,113
13582152,130
13582175,110
13588462,207
13588480,299
13588483,56
13588531,75
13594872,101
13594875,236
13594893,42
13601276,312
13601276,316
13601297,23
13607657,165
13607657,166
13607672,189
13613961,161
13613966,57
13613968,13
13620293,73
13620300,48
13620327,101
13626573,165
13626573,228
13626650,86
13627688,320
13632889,363
13632894,86
13632903,487
13639306,21
13639318,28
13639347,76
13645546,249
13645546,251
13645618,58
13645704,243
13651854,25
13651856,58
13651886,89
13651886,138
13658162,120
13658162,127
13658175,237
13664475,248
13664483,124
13664509,83
13670830,130
13670843,259
13670857,124
13677201,317
13677205,212
13677209,317
13683441,205
13683452,72
13683491,154
13689701,110
13689706,156
13689718,19
13696042,157
13696050,140
13696059,52
13702373,149
13702377,132
13702394,38
13708591,149
13708603,243
13708618,367
13714727,51
13714756,19
13714806,86
13715121,486
13721018,66
13721037,98
13721123,236
13721123,315
13727307,77
13727354,83
13727411,163
13727417,255
13733582,141
13733589,54
13733590,126
13739806,41
13739821,66
13739822,162
13746049,105
13746077,154
13746078,19
13752255,157
13752297,108
13752385,108
13752476,333
13758485,149
13758503,249
13758523,56
13764769,44
13764785,72
13764786,118
13771030,46
13771037,47
13771058,234
13777384,125
13777413,74
13777550,61
13783820,203
13783861,466
13783876,246
13790266,51
13790282,24
13790292,151
13796791,33
13796878,156
13796883,332
13803259,122
13803298,118
13803374,175
13809716,54
13809753,153
13809800,82
13816156,84
13816194,20
13816221,42
13822630,55
13822632,122
13822701,191
13829095,83
13829137,275
13829213,16
13835560,70
13835591,310
13835674,49
13841955,25
13841992,161
13842074,131
13842108,251
13848488,190
13848540,76
13848650,321
13854967,345
13855005,177
13855093,119
13861359,17
13861467,39
13861529,261
13867848,56
13867872,129
13867956,122
13874290,43
13874317,212
13874364,9
13880766,9
13880815,74
13880916,22
13887263,61
13887298,75
13887323,197
13893699,60
13893744,173
13893827,14
13900187,144
13900212,36
13900227,42
13906663,115
13906663,312
13906778,50
13913101,95
13913161,128
13913194,173
13919518,47
13919546,356
13919644,70
13925924,136
13925986,179
13926047,64
13932424,150
13932462,7
13932475,103
13938952,185
13938980,29
13939078,483
13945387,66
13945406,275
13945465,182
13951784,156
13951813,55
13951895,25
13958308,47
13958337,51
13958435,19
13964713,115
13964788,62
13964840,50
13971328,54
13971367,81
13971445,151
13977735,132
13977782,113
13977816,76
13984159,35
13984196,162
13984232,294
13990657,62
13990698,155
13990715,303
13997098,56
13997128,44
13997145,144
14003581,193
14003600,30
14003620,20
14009984,38
14010016,84
14010027,212
14016482,32
14016511,63
14016544,77
14022983,8
14023020,516
14023036,120
14029493,20
14029497,97
14029497,99
14035941,41
14035979,68
14035988,189
14042372,112
14042401,93
14042429,68
14048872,66
14048905,225
14048939,91
14055385,338
14055406,63
14055431,223
14061820,40
14061867,4
14061879,122
14068291,97
14068325,159
14068356,42
14074717,254
14074747,66
14074784,50
14081195,171
14081230,34
14081233,62
14087601,73
14087666,202
14087694,70
14094128,89
14094164,242
14094178,86
14100615,146
14100662,553
14100701,145
14107078,127
14107137,164
14107153,101
14113612,100
14113652,152
14113678,95
14120053,77
14120080,62
14120102,411
14126593,325
14126630,18
14126652,331
14132969,144
14133027,65
14133038,72
14139486,87
14139534,372
14139552,77
14145982,83
14146014,57
14146039,213
14152485,126
14152527,377
14152586,26
14158852,227
14158897,138
14158913,195
14165390,110
14165439,32
14165442,74
14171872,77
14171910,130
14171920,29
14178307,91
14178371,315
14178383,224
14184714,468
14184764,513
14184790,176
14191211,128
14191254,108
14191272,434
14197739,96
14197773,152
14198595,52
14204230,13
14204243,92
14204265,173
14204280,96
14210658,157
14210696,259
14210697,52
14210744,120
14217084,53
14217086,181
14217124,629
14223608,263
14223626,32
14223639,31
14223660,55
14230041,59
14230068,44
14230088,213
14236466,49
14236500,82
14236503,247
14242872,48
14242877,69
14242912,124
14249384,32
14249405,74
14249414,38
14255813,206
14255829,9
14255844,121
14262275,15
14262288,25
14262297,20
14268740,80
14268768,161
14268796,80
14275212,193
14275234,92
14275267,238
14275273,66
14281685,104
14281706,33
14281723,195
14288167,49
14288176,15
14288196,37
14294612,213
14294643,661
14294651,52
14294651,255
14301074,18
14301139,48
14301152,78
14301177,111
14307521,221
14307545,97
14307569,122
14313960,76
14313982,54
14314024,22
14314094,142
14320385,232
14320411,155
14320460,90
14326827,317
14326842,61
14326855,170
14333284,454
14333301,47
14333328,71
14339652,97
14339668,44
14339702,121
14346175,39
14346195,59
14346224,247
14352502,82
14352534,45
14352576,228
14359045,40
14359062,74
14359063,259
14365504,20
14365532,48
14365540,223
14371927,44
14371932,242
14371976,138
14371979,227
14378260,61
14378282,39
14378308,281
14384710,203
14384724,40
14384746,106
14391103,233
14391133,52
14391162,360
14397539,200
14397563,133
14397585,172
14403974,98
14404000,61
14404030,61
14410358,163
14410389,239
14410415,79
14416833,26
14416850,119
14416914,110
14420158,183
14423214,81
14423253,86
14423311,213
14423330,31
14429677,58
14429694,65
14429739,147
14436071,130
14436103,263
14436173,93
14442487,59
14442531,6
14442581,60
14448909,113
14448945,133
14448974,100
14455393,4
14455424,181
14455479,106
14461788,224
14461820,55
14461879,300
14461898,214
14468180,167
14468213,186
14468299,47
14468303,178
14468317,236
14474615,223
14474649,11
14474679,87
14481034,135
14481076,81
14481133,39
14487519,7
14487556,215
14487602,230
14487629,51
14493899,59
14493936,37
14493976,44
14500299,165
14500347,175
14500423,190
14506673,314
14506732,63
14506770,50
14506800,145
14513097,127
14513130,180
14513173,62
14519478,99
14519531,126
14519556,117
14525822,223
14525878,82
14525921,42
14532301,285
14532340,120
14532369,72
14538672,126
14538722,142
14538744,119
14545067,151
14545110,270
14545141,82
14551451,60
14551490,89
14551550,15
14557903,196
14557943,57
14557975,7
14564362,97
14564393,117
14564448,46
14570646,137
14570683,94
14570719,53
14570719,122
14577054,178
14577104,89
14577137,160
14583478,123
14583533,136
14583568,213
14589892,362
14589945,154
14589977,2
14596300,59
14596341,204
14596369,3
14602772,146
14602803,37
14602847,25
14609138,121
14609184,12
14609220,309
14609227,52
14615467,227
14615505,63
14615523,158
14621856,153
14621899,102
14621951,1
14628229,218
14628289,65
14628311,55
14634605,33
14634670,18
14634704,58
14641008,128
14641067,168
14641088,21
14647393,67
14647458,20
14647478,3
14653747,13
14653812,42
14653851,1
14660107,72
14660153,82
14660187,17
14666423,2
14666471,170
14666513,3
14672788,11
14672860,69
14672945,1
14673108,24
14679141,363
14679194,45
14679226,1
14685530,17
14685593,71
14685620,31
14691912,279
14691968,62
14692009,8
14698237,180
14698275,44
14698324,125
14698703,101
14704599,120
14704658,36
14704699,98
14710891,152
14710939,222
14710991,9
14717221,253
14717272,167
14717299,106
14717299,138
14723479,56
14723542,138
14723584,103
14729752,285
14729842,5
14729883,87
14736033,19
14736087,151
14736141,0
14742374,64
14742441,161
14742474,174
14748514,131
14748575,350
14748621,42
14754801,121
14754871,51
14754915,110
14761051,33
14761098,375
14761136,48
14761143,58
14767319,131
14767394,325
14767441,8
14773566,196
14773633,111
14773682,3
14774246,249
14779903,217
14779978,34
14780028,2
14786208,93
14786271,89
14786336,60
14792488,38
14792548,342
14792579,24
14798781,13
14798857,132
14798915,0
14798918,65
14804915,165
14804977,21
14805022,4
14805029,86
14811083,147
14811146,36
14811195,161
14813372,37
14817233,103
14817297,81
14817339,120
14817344,101
14823320,364
14823418,64
14823464,8
14823770,196
14829527,97
14829598,278
14829651,0
14829653,155
14835714,145
14835792,184
14835840,98
14841822,111
14841892,79
14841921,278
14847901,228
14847972,43
14848028,33
14848081,469
14854124,221
14854177,231
14854221,2
14860238,98
14860268,267
14860299,35
14860340,67
14866395,20
14866459,169
14866503,0
14872490,128
14872555,55
14872601,122
14878635,57
14878712,236
14878763,0
14884733,228
14884812,163
14884868,1
14890927,285
14891005,61
14891054,9
14897068,287
14897137,115
14897189,2
14897729,31
14903216,62
14903283,105
14903329,77
14903331,109
14909079,79
14909138,23
14909172,67
14914951,47
14914997,228
14915044,196
14920765,92
14920836,112
14920878,2
14926644,230
14926695,180
14926753,156
14932554,73
14932620,67
14932664,69
14938374,108
14938439,97
14938478,357
14944213,50
14944266,46
14944308,4
14950071,49
14950146,83
14950194,27
14955952,265
14956002,341
14956048,6
14961680,263
14961709,81
14961756,1
14967450,205
14967461,270
14967510,0
14973263,72
14973265,221
14973344,0
14979114,365
14979115,242
14979184,102
14984902,99
14984909,228
14984983,3
14990730,206
14990731,205
14990801,1
14996519,146
14996525,159
14996581,205
15002271,364
15002278,232
15002278,241
15007576,129
15007578,197
15007602,0
15012912,48
15012914,197
15012914,198
15018237,153
15018238,42
15018241,213
15023649,99
15023659,31
15023677,9
15028926,144
15028930,188
15028938,225
15034313,55
15034329,338
15034341,11
15039611,109
15039615,65
15039615,87
15044974,72
15044976,32
15044981,235
15050294,132
15050305,52
15050369,177
15051092,68
15052898,79
15052938,75
15056440,58
15056463,88
15056569,105
15056570,21
15056645,235
15056734,101
15056742,49
15056927,175
15057276,91
15057288,279
15057349,113
15057441,65
15057454,132
15057460,138
15057562,222
15057565,48
15057567,260
15058095,215
15058098,313
15058101,49
15058110,220
15058115,231
15061577,113
15062344,47
15062459,382
15062943,116
15062948,215
15063052,92
15063072,157
15063132,107
15063276,169
15066698,251
15068980,53
15069545,429
15069562,195
15069625,0
15070030,156
15072502,108
15075137,194
15076012,158
15076020,174
15076079,3
15077403,172
15082153,4
15082451,200
15082482,113
15082551,2
15082980,285
15082989,135
15083750,215
15087277,94
15087633,71
15087655,184
15087672,248
15088868,68
15088873,102
15088951,419
15092376,102
15093405,309
15095398,430
15095414,80
15095486,244
15100813,18
15101861,30
15101876,120
15101952,104
15107232,49
15108146,60
15108287,23
15108318,461
15108374,113
15114837,309
15114848,105
15114911,63
15118745,225
15119298,153
15119975,55
15119993,252
15121152,120
15121311,318
15121321,20
15121371,99
15127337,64
15127747,154
15127781,149
15127826,163
15131083,151
15132496,223
15134215,85
15134231,35
15134292,36
15139752,101
15140107,78
15140129,700
15140206,251
15140695,36
15140731,270
15140776,88
15140850,78
15141970,204
15144950,187
15146201,297
15147197,234
15147210,23
15147280,0
15147300,69
15151326,130
15151359,65
15151953,220
15152331,200
15152722,112
15153706,212
15153731,219
15153769,4
15154025,60
15154035,97
15157725,236
15157744,232
15157789,112
15157834,101
15158964,674
15160109,109
15160117,141
15160187,4
15166573,319
15166576,85
15166641,177
15172555,146
15172759,393
15173028,53
15173045,140
15173091,5
15177744,280
15179261,192
15179451,92
15179465,185
15179531,121
15183857,169
15184189,83
15184938,252
15185121,118
15185670,341
15185844,127
15185865,109
15185938,1
15185995,372
15192315,213
15192325,95
15192343,6
15198856,261
15198864,310
15198880,0
15202284,301
15204582,116
15205246,68
15205268,72
15205278,4
15210900,146
15211500,170
15211568,186
15211594,126
15211605,66
15211626,3
15215742,91
15216555,130
15217510,165
15218034,140
15218042,70
15218052,64
15219833,255
15222170,61
15223610,49
15224486,95
15224490,71
15224510,389
15230339,155
15230645,119
15230963,67
15230979,26
15230982,2
15235585,50
15235602,263
15235654,25
15237285,107
15237289,181
15237313,0
15237732,170
15237738,78
15237773,144
15237827,294
15237838,91
15237844,27
15243457,83
15243710,371
15243722,54
15243744,1
15243936,23
15247489,69
15247534,66
15250030,147
15250174,92
15250182,258
15250186,1
15255508,15
15256611,149
15256630,98
15256632,0
15256862,142
15256892,176
15259781,354
15259938,57
15260247,224
15261459,238
15262168,156
15263054,60
15263064,72
15263086,18
15269403,110
15269407,400
15269414,21
15269422,3
15273395,265
15273420,96
15273759,32
15275828,199
15275835,152
15275847,2
15277854,63
15277881,152
15279775,32
15281677,174
15282257,329
15282263,382
15282292,2
15288658,232
15288666,236
15288695,0
15289305,5
15289378,8
15289391,201
15289447,184
15289477,100
15289509,406
15289536,293
15289549,203
15289623,290
15289840,151
15289847,10
15289872,47
15289873,180
15289885,64
15289898,117
15289908,280
15289914,289
15289924,51
15289933,195
15289939,248
15289941,76
15289944,18
15289945,63
15289951,86
15289951,261
15289952,310
15289984,178
15289999,444
15290085,110
15290097,107
15290127,125
15290135,380
15290163,185
15290861,258
15291000,181
15291881,293
15292023,164
15292075,400
15292203,185
15292244,146
15292725,149
15292859,190
15293120,283
15293222,197
15295097,62
15295104,129
15295131,0
15295287,661
15295302,14
15297507,89
15299232,235
15299393,255
15299746,52
15299867,375
15300707,37
15301189,509
15301520,236
15301524,78
15301542,2
15301800,65
15302627,134
15307408,125
15307418,62
15307427,45
15307432,127
15307932,198
15307940,77
15307962,21
15311168,118
15312131,77
15312956,344
15313243,274
15314175,200
15314279,248
15314281,125
15314297,0
15319599,102
15319628,122
15320396,84
15320652,203
15320662,85
15320675,1
15324788,556
15324853,230
15326706,121
15326927,81
15326936,71
15326939,0
15331105,186
15331969,76
15332597,265
15332911,80
15333355,78
15333359,263
15333381,1
15334389,228
15334630,73
15334635,201
15335148,31
15339702,91
15339709,101
15339713,3
15339809,71
15339939,106
15339951,177
15340072,101
15341497,2
15344875,168
15344880,69
15345180,203
15345526,121
15345949,62
15345952,64
15345991,135
15347376,199
15347479,150
15347491,219
15351963,6
15351967,27
15351986,13
15351993,13
15351999,16
15352006,29
15352288,41
15352314,182
15352347,0
15352733,140
15353134,130
15354169,241
15358210,19
15358664,172
15358687,214
15358697,10
15359520,123
15359529,382
15359613,251
15361560,115
15363777,7
15363937,231
15364940,64
15364964,94
15364969,6
15366902,28
15371237,117
15371245,43
15371248,2
15377581,48
15377588,60
15377621,0
15379584,321
15383928,69
15383956,63
15383965,103
15390171,135
15390203,45
15390205,1
15391040,110
15391996,147
15396519,267
15396521,16
15396523,19
15397456,84
15397466,312
15397961,55
15400452,8
15400645,59
15400987,167
15402898,157
15402902,35
15402904,74
15403570,81
15404628,230
15405410,130
15405532,84
15406704,119
15409047,37
15409055,91
15409070,2
15409762,216
15412882,181
15415287,114
15415292,175
15415298,11
15416045,228
15417758,42
15419148,35
15420842,40
15420877,75
15420877,77
15420901,210
15421141,48
15421217,44
15421531,74
15421532,534
15421539,214
15422263,78
15422770,92
15425396,193
15427739,146
15427747,32
15427759,1
15428489,78
15431364,261
15432301,59
15433226,249
15433294,105
15433317,167
15434053,86
15434053,88
15434058,49
15439094,128
15439127,278
15439157,181
15439740,147
15440300,41
15440305,192
15440350,34
15444150,123
15445696,132
15445816,257
15446588,250
15446601,145
15446606,47
15446633,214
15447263,348
15447388,304
15447934,215
15452722,49
15452834,224
15452837,105
15452858,33
15453532,162
15459112,113
15459130,5
15459144,120
15459834,89
15465347,79
15465353,18
15465362,162
15465936,164
15471582,372
15471582,784
15471586,18
15472284,267
15477820,84
15477825,74
15477853,3
15478507,329
15482164,186
15483872,222
15484006,40
15484009,46
15484015,17
15484767,326
15490249,96
15490250,95
